Fecha;Cierre;Cierre Ajustado;Maximo;Minimo;Abrir;Volumen
2012-01-03;8732,39;8732,4;8743,3;8597,1;8739,2;186689000
2012-01-04;8581,79;8581,8;8701,3;8526,8;8683,4;243803000
2012-01-05;8329,59;8329,6;8598,7;8301,2;8598,7;192704000
2012-01-06;8289,09;8289,1;8445,9;8233,8;8369,7;153765000
2012-01-09;8278,89;8278,9;8404,4;8250,1;8314,5;173948000
2012-01-10;8472,89;8472,9;8486,1;8339,0;8341,1;200515000
2012-01-11;8426,79;8426,8;8521,2;8371,3;8463,1;234067000
2012-01-12;8426,99;8427,0;8575,9;8419,0;8455,9;265513000
2012-01-13;8450,59;8450,6;8548,2;8367,4;8501,1;243066000
2012-01-16;8449,59;8449,6;8483,6;8354,6;8368,4;143473000
2012-01-17;8535,29;8535,3;8575,0;8447,4;8551,3;203479000
2012-01-18;8420,69;8420,7;8581,8;8411,0;8539,4;231351000
2012-01-19;8603,79;8603,8;8603,8;8433,9;8464,6;316961000
2012-01-20;8561,89;8561,9;8612,4;8526,3;8610,4;271034000
2012-01-23;8619,59;8619,6;8667,5;8529,2;8552,7;219158000
2012-01-24;8591,39;8591,4;8597,0;8519,0;8551,5;214926000
2012-01-25;8555,39;8555,4;8638,7;8463,0;8618,5;213599000
2012-01-26;8713,79;8713,8;8721,6;8583,6;8594,9;223131000
2012-01-27;8657,29;8657,3;8746,6;8624,8;8670,9;171538000
2012-01-30;8516,99;8517,0;8624,2;8496,7;8588,4;177904000
2012-01-31;8509,19;8509,2;8576,9;8489,4;8537,8;229793000
2012-02-01;8696,59;8696,6;8726,8;8551,4;8558,6;223557000
2012-02-02;8772,29;8772,3;8782,0;8689,3;8724,0;210818000
2012-02-03;8861,19;8861,2;8861,2;8733,2;8748,8;260454000
2012-02-06;8835,29;8835,3;8841,8;8751,1;8833,8;179784000
2012-02-07;8846,89;8846,9;8856,9;8725,8;8841,7;178247000
2012-02-08;8849,29;8849,3;8921,7;8841,6;8859,4;199361000
2012-02-09;8902,09;8902,1;8967,4;8868,2;8879,0;195273000
2012-02-10;8797,09;8797,1;8860,4;8746,3;8851,6;172345000
2012-02-13;8788,29;8788,3;8883,3;8772,2;8856,1;145672000
2012-02-14;8771,89;8771,9;8832,8;8721,5;8760,3;149295000
2012-02-15;8741,59;8741,6;8853,4;8719,1;8820,2;151604000
2012-02-16;8558,09;8558,1;8651,7;8476,8;8649,2;305249000
2012-02-17;8656,99;8657,0;8708,1;8612,9;8647,8;258808000
2012-02-20;8818,09;8818,1;8818,1;8715,5;8726,6;161960000
2012-02-21;8767,09;8767,1;8864,4;8695,9;8825,2;190679000
2012-02-22;8656,99;8657,0;8778,1;8654,5;8775,3;179455000
2012-02-23;8527,69;8527,7;8672,3;8482,3;8637,9;249965000
2012-02-24;8527,69;8527,7;8568,2;8456,4;8553,1;193668000
2012-02-27;8537,19;8537,2;8549,7;8429,1;8483,3;169653000
2012-02-28;8526,69;8526,7;8595,0;8461,3;8558,2;197819000
2012-02-29;8465,89;8465,9;8628,4;8438,3;8538,5;234671000
2012-03-01;8547,69;8547,7;8567,8;8401,9;8442,0;199094000
2012-03-02;8563,39;8563,4;8602,2;8520,1;8566,8;151559000
2012-03-05;8453,49;8453,5;8540,6;8421,0;8514,2;167063000
2012-03-06;8166,59;8166,6;8426,4;8166,6;8423,8;287919000
2012-03-07;8161,79;8161,8;8202,2;8081,6;8164,7;289619000
2012-03-08;8307,39;8307,4;8307,4;8147,9;8221,3;239945000
2012-03-09;8282,69;8282,7;8340,0;8233,3;8321,6;240617000
2012-03-12;8180,19;8180,2;8296,4;8159,5;8276,7;283676000
2012-03-13;8376,79;8376,8;8378,5;8219,2;8243,5;202583000
2012-03-14;8391,09;8391,1;8499,7;8373,4;8423,4;261394000
2012-03-15;8426,69;8426,7;8429,8;8322,1;8401,4;251306000
2012-03-16;8486,29;8486,3;8486,3;8379,4;8450,0;424100000
2012-03-19;8591,79;8591,8;8591,8;8443,5;8478,3;197670000
2012-03-20;8567,49;8567,5;8606,2;8508,3;8576,7;185873000
2012-03-21;8490,89;8490,9;8625,5;8432,3;8602,8;228467000
2012-03-22;8353,59;8353,6;8463,4;8311,3;8449,1;255496000
2012-03-23;8281,79;8281,8;8386,8;8192,6;8360,4;249692000
2012-03-26;8224,69;8224,7;8310,8;8114,9;8310,8;199200000
2012-03-27;8140,29;8140,3;8345,7;8131,0;8284,9;256270000
2012-03-28;7980,79;7980,8;8180,1;7963,7;8136,6;244326000
2012-03-29;7910,99;7911,0;8022,5;7866,4;7965,2;280010000
2012-03-30;8007,99;8008,0;8015,1;7903,1;7945,7;259621000
2012-04-02;8042,79;8042,8;8042,8;7866,8;8024,7;244563000
2012-04-03;7824,49;7824,5;8072,6;7824,5;8032,2;224107000
2012-04-04;7660,69;7660,7;7833,7;7634,3;7809,3;347351000
2012-04-05;7660,49;7660,5;7712,8;7545,1;7681,8;194453000
2012-04-10;7433,59;7433,6;7633,5;7433,6;7582,5;290368000
2012-04-11;7576,69;7576,7;7588,2;7412,9;7448,7;290566000
2012-04-12;7519,99;7520,0;7619,4;7400,8;7610,7;308033000
2012-04-13;7250,59;7250,6;7485,5;7218,4;7468,7;345668000
2012-04-16;7209,09;7209,1;7331,4;7186,6;7232,0;253824800
2012-04-17;7373,29;7373,3;7373,3;7136,8;7157,8;286424800
2012-04-18;7079,19;7079,2;7364,0;7079,2;7354,5;386705000
2012-04-19;6908,09;6908,1;7151,1;6907,0;7122,1;380127200
2012-04-20;7040,59;7040,6;7058,8;6858,3;6936,7;405539800
2012-04-23;6846,59;6846,6;6993,8;6811,2;6986,7;323957800
2012-04-24;6999,89;6999,9;7010,4;6848,7;6868,6;280715200
2012-04-25;7118,89;7118,9;7202,9;7034,0;7036,3;304911800
2012-04-26;7027,09;7027,1;7159,8;6955,1;7151,7;286928200
2012-04-27;7145,79;7145,8;7184,8;6840,8;6906,2;260329200
2012-04-30;7010,99;7011,0;7208,3;7002,0;7182,5;200836800
2012-05-02;6831,89;6831,9;7117,6;6776,5;7100,9;328073200
2012-05-03;6851,89;6851,9;6992,0;6828,1;6868,7;271072800
2012-05-04;6875,99;6876,0;6989,6;6820,4;6856,0;238106800
2012-05-07;7063,19;7063,2;7078,2;6743,2;6766,2;205943600
2012-05-08;7006,89;7006,9;7175,7;6967,7;7050,9;265161800
2012-05-09;6812,69;6812,7;7022,3;6732,6;7017,0;371381800
2012-05-10;7045,69;7045,7;7079,4;6843,9;6905,4;350192400
2012-05-11;6995,59;6995,6;7027,3;6789,3;6958,1;307603000
2012-05-14;6809,39;6809,4;6907,0;6762,8;6896,6;219614600
2012-05-15;6700,69;6700,7;6892,9;6644,0;6848,4;255003200
2012-05-16;6611,49;6611,5;6758,9;6536,2;6621,3;325322000
2012-05-17;6537,89;6537,9;6652,6;6434,7;6635,3;251827000
2012-05-18;6566,69;6566,7;6626,9;6380,2;6400,2;393737600
2012-05-21;6523,99;6524,0;6605,5;6455,1;6571,5;211506000
2012-05-22;6661,29;6661,3;6683,0;6520,2;6565,4;205436400
2012-05-23;6440,49;6440,5;6603,3;6420,4;6579,1;254664600
2012-05-24;6534,39;6534,4;6589,3;6357,1;6495,7;239097200
2012-05-25;6542,99;6543,0;6612,8;6458,4;6542,3;181672000
2012-05-28;6401,19;6401,2;6620,6;6392,1;6585,2;225608000
2012-05-29;6251,69;6251,7;6449,1;6221,4;6432,8;280790600
2012-05-30;6090,39;6090,4;6303,2;6073,7;6184,8;331142800
2012-05-31;6089,79;6089,8;6167,9;6012,0;6134,4;402042000
2012-06-01;6064,99;6065,0;6152,7;5994,1;6109,7;347827200
2012-06-04;6239,49;6239,5;6273,3;5987,8;5998,9;205104800
2012-06-05;6267,79;6267,8;6332,7;6231,3;6293,2;205623000
2012-06-06;6418,89;6418,9;6465,9;6276,2;6312,6;277318600
2012-06-07;6438,09;6438,1;6538,4;6421,5;6449,1;270686000
2012-06-08;6551,99;6552,0;6578,5;6323,6;6391,8;242093600
2012-06-11;6516,39;6516,4;6940,3;6498,1;6897,6;362914400
2012-06-12;6522,49;6522,5;6593,3;6439,3;6509,7;254535200
2012-06-13;6615,29;6615,3;6639,0;6490,7;6529,3;214979800
2012-06-14;6695,99;6696,0;6696,4;6558,6;6582,0;219611400
2012-06-15;6718,99;6719,0;6829,8;6659,0;6744,0;506761600
2012-06-18;6519,89;6519,9;6862,6;6503,3;6855,8;277028000
2012-06-19;6693,89;6693,9;6717,4;6479,4;6546,5;212727600
2012-06-20;6796,09;6796,1;6806,9;6668,2;6715,7;217636600
2012-06-21;6773,49;6773,5;6914,9;6675,4;6729,5;247857200
2012-06-22;6876,29;6876,3;6960,0;6697,1;6716,9;276895400
2012-06-25;6623,99;6624,0;6857,5;6612,3;6844,6;235446800
2012-06-26;6528,39;6528,4;6708,3;6512,3;6590,3;218002400
2012-06-27;6666,89;6666,9;6666,9;6513,0;6576,8;250549200
2012-06-28;6721,69;6721,7;6724,5;6593,5;6666,2;205109200
2012-06-29;7102,19;7102,2;7102,2;6872,5;6939,2;445205800
2012-07-02;7123,99;7124,0;7178,4;7036,9;7082,4;272362400
2012-07-03;7219,49;7219,5;7219,5;7122,2;7143,5;238493800
2012-07-04;7168,49;7168,5;7202,7;7116,2;7173,6;164931600
2012-07-05;6954,19;6954,2;7180,8;6912,2;7148,3;256422200
2012-07-06;6738,89;6738,9;6921,2;6726,7;6910,5;329276800
2012-07-09;6688,29;6688,3;6785,7;6611,6;6738,2;285046400
2012-07-10;6726,89;6726,9;6812,2;6638,2;6723,6;204163200
2012-07-11;6805,89;6805,9;6829,7;6679,0;6693,1;220999200
2012-07-12;6630,09;6630,1;6755,3;6600,8;6749,0;233862400
2012-07-13;6664,59;6664,6;6687,5;6563,3;6620,6;195775000
2012-07-16;6532,09;6532,1;6659,2;6485,1;6631,3;204862400
2012-07-17;6558,19;6558,2;6642,6;6529,7;6573,2;202328000
2012-07-18;6591,19;6591,2;6607,8;6497,2;6595,1;267875800
2012-07-19;6632,59;6632,6;6682,5;6579,5;6625,2;205900400
2012-07-20;6246,29;6246,3;6668,1;6232,6;6623,4;420760000
2012-07-23;6177,39;6177,4;6240,5;5905,3;6157,0;381197000
2012-07-24;5956,29;5956,3;6254,6;5950,8;6252,1;235090000
2012-07-25;6004,89;6004,9;6093,1;5939,4;5950,4;201585200
2012-07-26;6368,79;6368,8;6368,8;5955,0;5958,2;352307200
2012-07-27;6617,59;6617,6;6617,6;6244,2;6403,1;282898400
2012-07-30;6801,79;6801,8;6805,5;6589,2;6625,7;284309200
2012-07-31;6738,09;6738,1;6913,7;6691,1;6804,0;212508200
2012-08-01;6719,99;6720,0;6787,2;6569,2;6715,2;164431600
2012-08-02;6373,39;6373,4;6864,6;6364,8;6690,2;326798600
2012-08-03;6755,69;6755,7;6755,7;6296,1;6377,1;247045200
2012-08-06;7053,59;7053,6;7061,9;6738,4;6751,8;227925200
2012-08-07;7211,09;7211,1;7218,7;7013,0;7018,7;263132800
2012-08-08;7150,19;7150,2;7232,2;7039,8;7184,5;190321600
2012-08-09;7110,19;7110,2;7235,8;7026,6;7189,2;195991200
2012-08-10;7047,69;7047,7;7079,9;6962,2;7068,7;141567600
2012-08-13;7069,59;7069,6;7119,8;6991,9;7036,8;104720800
2012-08-14;7124,79;7124,8;7153,1;7074,3;7109,1;113792800
2012-08-15;7128,89;7128,9;7146,7;7066,8;7111,3;71586400
2012-08-16;7417,29;7417,3;7419,3;7123,3;7140,8;230811800
2012-08-17;7560,99;7561,0;7612,1;7452,5;7463,2;276573200
2012-08-20;7469,59;7469,6;7645,0;7387,4;7557,0;201818400
2012-08-21;7544,49;7544,5;7558,4;7430,4;7468,9;128242400
2012-08-22;7340,69;7340,7;7516,0;7326,4;7495,2;159613400
2012-08-23;7282,89;7282,9;7427,0;7176,9;7391,5;145116800
2012-08-24;7310,29;7310,3;7323,1;7183,0;7259,8;107758000
2012-08-27;7398,89;7398,9;7398,9;7216,8;7293,8;102652600
2012-08-28;7333,49;7333,5;7404,1;7284,2;7391,7;108404800
2012-08-29;7305,99;7306,0;7365,4;7274,3;7339,2;137264000
2012-08-30;7194,99;7195,0;7304,7;7178,8;7278,1;124946200
2012-08-31;7420,49;7420,5;7424,7;7161,4;7173,7;302455200
2012-09-03;7434,19;7434,2;7442,1;7351,2;7398,5;107274400
2012-09-04;7488,19;7488,2;7542,8;7444,2;7460,6;173196000
2012-09-05;7493,99;7494,0;7562,4;7421,6;7468,7;161515200
2012-09-06;7861,99;7862,0;7864,9;7533,0;7536,2;304454200
2012-09-07;7882,79;7882,8;8027,0;7834,4;7882,1;306828600
2012-09-10;7857,69;7857,7;7890,8;7796,9;7839,4;167640800
2012-09-11;7930,39;7930,4;7933,4;7730,0;7820,1;168453000
2012-09-12;7992,09;7992,1;8076,6;7928,7;7972,5;234365200
2012-09-13;7935,89;7935,9;7968,3;7865,1;7957,6;161497000
2012-09-14;8154,49;8154,5;8231,0;8087,5;8101,9;288950200
2012-09-17;8147,99;8148,0;8156,6;8049,6;8087,6;168226400
2012-09-18;8058,29;8058,3;8099,7;7949,1;8085,0;163760600
2012-09-19;8098,79;8098,8;8149,4;8031,5;8094,9;177132600
2012-09-20;8022,09;8022,1;8088,0;7961,4;8034,3;168749800
2012-09-21;8230,69;8230,7;8230,7;8035,9;8063,5;340749200
2012-09-24;8138,39;8138,4;8182,1;8082,9;8165,9;107284400
2012-09-25;8174,99;8175,0;8197,9;8117,5;8125,6;125007600
2012-09-26;7854,39;7854,4;8082,5;7840,4;8080,6;252681200
2012-09-27;7842,29;7842,3;7914,8;7790,6;7896,0;145562200
2012-09-28;7708,49;7708,5;7939,2;7678,7;7908,7;175962800
2012-10-01;7784,09;7784,1;7838,5;7703,0;7712,8;156295600
2012-10-02;7867,09;7867,1;7913,7;7710,2;7728,0;141834000
2012-10-03;7826,69;7826,7;7900,8;7802,3;7840,7;186837800
2012-10-04;7812,79;7812,8;7913,3;7784,4;7866,1;125260000
2012-10-05;7954,39;7954,4;7972,8;7825,5;7848,4;142985800
2012-10-08;7890,99;7891,0;7913,1;7855,2;7910,5;112256000
2012-10-09;7745,39;7745,4;7901,5;7734,9;7893,7;182717200
2012-10-10;7667,99;7668,0;7765,1;7664,5;7705,7;164971000
2012-10-11;7734,69;7734,7;7777,7;7565,5;7615,4;148864200
2012-10-12;7652,39;7652,4;7791,5;7652,4;7724,0;112345200
2012-10-15;7678,49;7678,5;7723,4;7624,7;7653,9;111705600
2012-10-16;7940,19;7940,2;7941,8;7741,6;7747,0;218384000
2012-10-17;8128,19;8128,2;8131,9;7987,0;8005,8;279964400
2012-10-18;8100,29;8100,3;8156,6;8035,5;8143,8;189465000
2012-10-19;7913,39;7913,4;8070,6;7880,9;8053,8;197259000
2012-10-22;7877,09;7877,1;7955,7;7841,5;7911,2;139769000
2012-10-23;7747,69;7747,7;7886,6;7699,8;7863,9;153870800
2012-10-24;7791,49;7791,5;7819,7;7653,2;7773,1;141521000
2012-10-25;7779,19;7779,2;7851,3;7766,3;7780,6;127757800
2012-10-26;7775,59;7775,6;7803,7;7665,6;7708,4;162980000
2012-10-29;7728,59;7728,6;7779,7;7684,5;7749,4;122887000
2012-10-30;7833,89;7833,9;7844,0;7755,9;7763,6;93858400
2012-10-31;7842,89;7842,9;7939,9;7830,9;7831,4;164282800
2012-11-01;7886,39;7886,4;7928,8;7790,3;7807,1;90289200
